"Pedigree","Env","Intercept","Pedigree_Fixed_Effect","Env_BLUP","GxE_BLUP","Predicted_BLUP","Species","Spec"
"BGV007899","Florida",2.54945048578384,3.50993551407833,-0.158169742006974,-0.0104641514940756,3.34130162057728,"cerasiforme","SLC"
"BGV007899","Georgia",2.54945048578384,3.50993551407833,-0.0538083811384576,0.0454167151748259,3.5015438481147,"cerasiforme","SLC"
"BGV007899","Valencia",2.54945048578384,3.50993551407833,0.0736763981025623,-0.147160322603319,3.43645158957758,"cerasiforme","SLC"
"BGV007900","Antalya",2.54945048578384,3.78828699185029,0.138301725037179,0.0182591050668955,3.94484782195436,"cerasiforme","SLC"
"BGV007900","Florida",2.54945048578384,3.78828699185029,-0.158169742006974,-0.200730336693865,3.42938691314945,"cerasiforme","SLC"
"BGV007900","Georgia",2.54945048578384,3.78828699185029,-0.0538083811384576,0.0465318817429093,3.78101049245474,"cerasiforme","SLC"
"BGV007900","Valencia",2.54945048578384,3.78828699185029,0.0736763981025623,0.135939349884057,3.99790273983691,"cerasiforme","SLC"
"BGV007901","Antalya",2.54945048578384,1.48564907961604,0.138301725037179,-0.0424211137859899,1.58152969086722,"cerasiforme","SLC"
"BGV007901","Florida",2.54945048578384,1.48564907961604,-0.158169742006974,0.0805453052182281,1.40802464282729,"cerasiforme","SLC"
"BGV007901","Georgia",2.54945048578384,1.48564907961604,-0.0538083811384576,-0.035110122763676,1.3967305757139,"cerasiforme","SLC"
"BGV007901","Valencia",2.54945048578384,1.48564907961604,0.0736763981025623,-0.003014068668563,1.55631140905003,"cerasiforme","SLC"
"BGV007902","Antalya",2.54945048578384,1.55939742622271,0.138301725037179,-0.0412406049788295,1.65645854628106,"cerasiforme","SLC"
"BGV007902","Florida",2.54945048578384,1.55939742622271,-0.158169742006974,0.131886487092512,1.53311417130825,"cerasiforme","SLC"
"BGV007902","Georgia",2.54945048578384,1.55939742622271,-0.0538083811384576,-0.0430029652780131,1.46258607980624,"cerasiforme","SLC"
"BGV007902","Valencia",2.54945048578384,1.55939742622271,0.0736763981025623,-0.0476429168356727,1.5854309074896,"cerasiforme","SLC"
"BGV007908","Antalya",2.54945048578384,1.31441231050114,0.138301725037179,-0.034803581133049,1.41791045440527,"cerasiforme","SLC"
"BGV007908","Florida",2.54945048578384,1.31441231050114,-0.158169742006974,0.0445724872489874,1.20081505574315,"cerasiforme","SLC"
"BGV007908","Georgia",2.54945048578384,1.31441231050114,-0.0538083811384576,0.00762811489493468,1.26823204425762,"cerasiforme","SLC"
"BGV007908","Valencia",2.54945048578384,1.31441231050114,0.0736763981025623,-0.0173970210108752,1.37069168759283,"cerasiforme","SLC"
"BGV007909","Antalya",2.54945048578384,1.33258661028811,0.138301725037179,-0.0866332396425469,1.38425509568274,"cerasiforme","SLC"
"BGV007909","Florida",2.54945048578384,1.33258661028811,-0.158169742006974,0.0637431092563365,1.23815997753747,"cerasiforme","SLC"
"BGV007909","Georgia",2.54945048578384,1.33258661028811,-0.0538083811384576,0.0274182561657677,1.30619648531542,"cerasiforme","SLC"
"BGV007909","Valencia",2.54945048578384,1.33258661028811,0.0736763981025623,-0.00452812577955802,1.40173488261111,"cerasiforme","SLC"
"BGV007910","Antalya",2.54945048578384,1.91352537944242,0.138301725037179,0.951543285799501,3.0033703902791,"cerasiforme","SLC"
"BGV007910","Florida",2.54945048578384,1.91352537944242,-0.158169742006974,-0.334258021630215,1.42109761580523,"cerasiforme","SLC"
"BGV007910","Georgia",2.54945048578384,1.91352537944242,-0.0538083811384576,-0.400077669873568,1.4596393284304,"cerasiforme","SLC"
"BGV007910","Valencia",2.54945048578384,1.91352537944242,0.0736763981025623,-0.217207594295718,1.76999418324927,"cerasiforme","SLC"
"BGV007911","Antalya",2.54945048578384,1.40032994585089,0.138301725037179,-0.072938491060507,1.46569317982756,"cerasiforme","SLC"
"BGV007911","Florida",2.54945048578384,1.40032994585089,-0.158169742006974,0.0756209072122479,1.31778111105616,"cerasiforme","SLC"
"BGV007911","Georgia",2.54945048578384,1.40032994585089,-0.0538083811384576,0.0118454598331709,1.3583670245456,"cerasiforme","SLC"
"BGV007911","Valencia",2.54945048578384,1.40032994585089,0.0736763981025623,-0.0145278759849121,1.45947846796854,"cerasiforme","SLC"
"BGV007918","Antalya",2.54945048578384,1.41813095104056,0.138301725037179,-0.0639269686044709,1.49250570747327,"cerasiforme","SLC"
"BGV007918","Florida",2.54945048578384,1.41813095104056,-0.158169742006974,0.0632914697330958,1.32325267876668,"cerasiforme","SLC"
"BGV007918","Georgia",2.54945048578384,1.41813095104056,-0.0538083811384576,-0.0321215248256901,1.33220104507641,"cerasiforme","SLC"
"BGV007918","Valencia",2.54945048578384,1.41813095104056,0.0736763981025623,0.032757023697064,1.52456437284019,"cerasiforme","SLC"
"BGV007920","Antalya",2.54945048578384,1.85685563381828,0.138301725037179,-0.0266234767802474,1.96853388207521,"cerasiforme","SLC"
"BGV007920","Florida",2.54945048578384,1.85685563381828,-0.158169742006974,-0.00589216168572971,1.69279373012558,"cerasiforme","SLC"
"BGV007920","Georgia",2.54945048578384,1.85685563381828,-0.0538083811384576,-0.0241768520731862,1.77887040060664,"cerasiforme","SLC"
"BGV007920","Valencia",2.54945048578384,1.85685563381828,0.0736763981025623,0.0566924905391604,1.98722452246,"cerasiforme","SLC"
"BGV007921","Antalya",2.54945048578384,1.33542754080597,0.138301725037179,-0.0521651712279563,1.4215640946152,"cerasiforme","SLC"
