Env,Pedigree,FW
Florida,Tegucigalpa,20.90833
Florida,Voyage,75.90833
Georgia,BGV004584,11.7625
Georgia,BGV005895,7.23
Georgia,BGV005912,13.04
Georgia,BGV006148,7.49
Georgia,BGV006175,25.66588
Georgia,BGV006208,1.40175
Georgia,BGV006225,8.415
Georgia,BGV006229,9.465
Georgia,BGV006230,3.8725
Georgia,BGV006231,8.2825
Georgia,BGV006232,9.1925
Georgia,BGV006234,10.9975
Georgia,BGV006235,11.4475
Georgia,BGV006327,1.59987
Georgia,BGV006336,1.0665
Georgia,BGV006347,1.14807
Georgia,BGV006353,6.96062
Georgia,BGV006363,1.58992
Georgia,BGV006370,1.46717
Georgia,BGV006454,1.55272
Georgia,BGV006457,1.58855
Georgia,BGV006478,1.17592
Georgia,BGV006753,4.91627
Georgia,BGV006767,5.7725
Georgia,BGV006768,15.0875
Georgia,BGV006775,2.20442
Georgia,BGV006777,10.0275
Georgia,BGV006779,13.425
Georgia,BGV006792,15.8675
Georgia,BGV006806,5.91
Georgia,BGV006825,23.39
Georgia,BGV006828,16.32
Georgia,BGV006852,25.5225
Georgia,BGV006859,4.6425
Georgia,BGV006865,4.295
Georgia,BGV006867,5.145
Georgia,BGV006881,9.245
Georgia,BGV006896,5.9975
Georgia,BGV006899,11.6575
Georgia,BGV006901,7.5975
Georgia,BGV006904,4.1725
Georgia,BGV006906,9.635
Georgia,BGV006907,11.72
Georgia,BGV006910,5.245
Georgia,BGV006927,11.2925
Georgia,BGV006931,9.915
Georgia,BGV006934,12.0875
Georgia,BGV007015,12.15
Georgia,BGV007017,11.01
Georgia,BGV007023,9.9625
Georgia,BGV007109,1.2898
Georgia,BGV007111,1.22472
Georgia,BGV007149,1.77247
Georgia,BGV007151,1.5262
Georgia,BGV007152,1.97182
Georgia,BGV007155,1.6122
Georgia,BGV007158,1.64065
Georgia,BGV007161,1.59175
Georgia,BGV007169,1.8344
Georgia,BGV007181,2.06812
Georgia,BGV007194,1.61815
Georgia,BGV007198,2.0872
Georgia,BGV007339,1.76352
Georgia,BGV007366,1.41652
Georgia,BGV007854,37.52
Georgia,BGV007857,48.85714
Georgia,BGV007860,66.245
Georgia,BGV007862,37.01167
Georgia,BGV007863,29.2575
Georgia,BGV007864,56.25074
Georgia,BGV007865,65.635
Georgia,BGV007867,69.76833
Georgia,BGV007870,32.8265
Georgia,BGV007871,63.43077
Georgia,BGV007872,69.36
Georgia,BGV007875,73.13571
Georgia,BGV007876,68.93583
Georgia,BGV007878,76.875
Georgia,BGV007894,11.16
Georgia,BGV007895,84.61977
Georgia,BGV007899,33.0525
Georgia,BGV007900,45.47083
Georgia,BGV007901,2.94922
Georgia,BGV007902,3.195
Georgia,BGV007908,2.56595
Georgia,BGV007909,2.74842
Georgia,BGV007910,2.37245
Georgia,BGV007911,2.9275
Georgia,BGV007918,2.7075
Georgia,BGV007920,4.8225
Georgia,BGV007921,2.47687
Georgia,BGV007927,1.43852
Georgia,BGV007931,1.37155
Georgia,BGV007933,3.0925
Georgia,BGV007934,2.18375
Georgia,BGV007935,2.0357
Georgia,BGV007936,93.7125
Georgia,BGV007981,7.5925
Georgia,BGV007989,9.5025
Georgia,BGV007990,9.1625
Georgia,BGV007992,5.805
Georgia,BGV008036,9.32
Georgia,BGV008037,6.425
Georgia,BGV008041,10.33694
Georgia,BGV008042,2.99695
Georgia,BGV008051,2.71842
Georgia,BGV008058,5.0475
Georgia,BGV008061,8.1125
Georgia,BGV008065,16.5325
Georgia,BGV008067,2.62885
Georgia,BGV008070,2.65807
Georgia,BGV008077,14.4625
Georgia,BGV008095,9.425
Georgia,BGV008096,10.1325
Georgia,BGV008098,10.045
Georgia,BGV008100,12.495
Georgia,BGV008106,6.2325
Georgia,BGV008108,4.45
Georgia,BGV008110,3.215
Georgia,BGV008189,4.085
Georgia,BGV008218,5.23
Georgia,BGV008219,3.995
Georgia,BGV008221,4.7875
Georgia,BGV008223,3.6525
Georgia,BGV008224,25.565
Georgia,BGV008225,2.28252
Georgia,BGV008345,3.925
Georgia,BGV008347,3.3175
Georgia,BGV008348,5.9825
Georgia,BGV008354,19.5075
Georgia,BGV012613,6.2425
Georgia,BGV012614,3.155
Georgia,BGV012615,2.0751
Georgia,BGV012625,19.445
Georgia,BGV012626,3.68
Georgia,BGV012627,8.7625
Georgia,BGV012639,14.8275
Georgia,BGV012640,10.34
Georgia,BGV013134,3.075
Georgia,BGV013156,4.17679
Georgia,BGV013161,11.325
Georgia,BGV013175,3.9775
Georgia,BGV013945,9.74333
Georgia,BGV014508,16.795
Georgia,BGV014514,21.1575
Georgia,BGV014515,18.65
Georgia,BGV014516,9.1125
Georgia,BGV014518,14.4725
Georgia,BGV014519,12.455
Georgia,BGV014522,12.6325
Georgia,BGV015380,1.2923
Georgia,BGV015382,1.48847
Georgia,BGV015726,15.64833
Georgia,BGV015727,13.8425
Georgia,BGV015730,11.255
Georgia,BGV015734,55.7375
Georgia,BGV016047,1.292
Georgia,LA0767,56.22667
Georgia,LA1712,3.8225
Georgia,LA2309,16.6475
Georgia,PI129026,64.42
Georgia,PI129033,70.62405
Georgia,PI129088,15.465
Georgia,PI406890,6.21
Georgia,PI487625,20.6175
Georgia,Tegucigalpa,24.18667
Georgia,Voyage,77.08553
